Ticker,ISIN Code,Company Name,12/31/2018
A,US00846U1016,Agilent Technologies Inc.,0.10244%
AAL,US02376R1023,American Airlines Group Inc,0.06315%
AAP,US00751Y1064,Advance Auto Parts Inc,0.05418%
AAPL,US0378331005,Apple Inc.,3.38211%
ABBV,US00287Y1091,AbbVie Inc.,0.65931%
ABC,US03073E1055,AmerisourceBergen Corp.,0.05551%
ABT,US0028241000,Abbott Laboratories,0.60445%
ACN,IE00B4BNMY34,Accenture plc,0.42736%
ADBE,US00724F1012,Adobe Systems Inc.,0.52513%
ADI,US0326541051,Analog Devices Inc.,0.15094%
ADM,US0394831020,Archer-Daniels-Midland Co.,0.10934%
ADP,US0530151036,Automatic Data Processing Inc,0.27309%
ADS,US0185811082,Alliance Data Systems Corp.,0.03332%
ADSK,US0527691069,Autodesk Inc.,0.13402%
AEE,US0236081024,Ameren Corp.,0.07598%
AEP,US0255371017,American Electric Power Company Inc,0.17536%
AES,US00130H1059,AES Corp.,0.04531%
AFL,US0010551028,AFLAC Inc.,0.16482%
AGN,IE00BY9D5467,Allergan plc,0.20159%
AIG,US0268747849,AIG Inc.,0.16368%
AIV,US03748R1014,Aimco,0.03313%
AIZ,US04621X1081,Assurant Inc.,0.02176%
AKAM,US00971T1016,Akamai Technologies Inc.,0.04702%
ALL,US0200021014,Allstate Corp.,0.13521%
ALLE,IE00BFRT3W74,Allegion Plc,0.03655%
ALXN,US0153511094,Alexion Pharmaceuticals Inc,0.10386%
AMAT,US0382221051,Applied Materials Inc.,0.15326%
AMD,US0079031078,Advanced Micro Devices Inc,0.07724%
AME,US0311001004,AMETEK Inc,0.07494%
AMG,US0082521081,Affiliated Managers Group Inc,0.02364%
AMGN,US0311621009,Amgen Inc.,0.58989%
AMP,US03076C1062,Ameriprise Financial Inc,0.06888%
AMT,US03027X1000,American Tower Corp.,0.33123%
AMZN,US0231351067,Amazon.com Inc.,2.93407%
ANTM,US0367521038,Anthem Inc.,0.32255%
AON,GB00B5BT0K07,Aon plc,0.16588%
APA,US0374111054,Apache Corp,0.04619%
APC,US0325111070,Anadarko Petroleum Corp.,0.10519%
APD,US0091581068,Air Products & Chemicals Inc,0.16718%
APH,US0320951017,Amphenol Corp.,0.11616%
ATVI,US00507V1098,Activision Blizzard Inc,0.16908%
AVB,US0534841012,AvalonBay Communities,0.11470%
AVGO,US11135F1012,Broadcom Ltd,0.49992%
AVY,US0536111091,Avery Dennison Corp,0.03712%
AWK,US0304201033,American Water Works Inc,0.07801%
AXP,US0258161092,American Express Co,0.31742%
AZO,US0533321024,AutoZone Inc,0.10059%
BA,US0970231058,Boeing Co.,0.81009%
BAC,US0605051046,Bank of America Corp.,1.07010%
BAX,US0718131099,Baxter International Inc.,0.15473%
BBT,US0549371070,BB&T Corp.,0.15946%
BBY,US0865161014,Best Buy Co. Inc.,0.05900%
BDX,US0758871091,Becton Dickinson & Co,0.28759%
BEN,US3546131018,Franklin Resources Inc,0.04200%
BF.B,US1156372096,Brown-Forman Corp.,0.03717%
BHGE,US05722G1004,Baker Hughes Inc,0.05273%
BIIB,US09062X1037,Biogen Idec Inc,0.28848%
BK,US0640581007,Bank of New York Mellon Corp,0.20374%
BLK,US09247X1019,BlackRock Inc,0.22662%
BLL,US0584981064,Ball Corp,0.07333%
BMY,US1101221083,Bristol-Myers Squibb Co,0.40334%
BRK.B,US0846707026,Berkshire Hathaway Inc,1.88895%
BSX,US1011371077,Boston Scientific Corp,0.23269%
BWA,US0997241064,BorgWarner Inc,0.03451%
BXP,US1011211018,Boston Properties,0.08277%
C,US1729674242,Citigroup Inc.,0.60497%
CAG,US2058871029,ConAgra Brands Inc,0.04935%
CAH,US14149Y1082,Cardinal Health Inc.,0.06291%
CAT,US1491231015,Caterpillar Inc.,0.35624%
CB,CH0044328745,Chubb Ltd,0.28311%
CBRE,US12504L1098,CBRE Group Inc,0.06024%
CBS,US1248572026,CBS Corp,0.07010%
CCI,US22822V1017,Crown Castle Int'l Corp.,0.21444%
CCL,PA1436583006,Carnival Corp.,0.09357%
CELG,US1510201049,Celgene Corp.,0.21330%
CERN,US1567821046,Cerner Corp,0.08223%
CF,US1252691001,CF Industries Holdings Inc.,0.04741%
CFG,US1746101054,Citizens Financial Group Inc,0.06608%
CHD,US1713401024,Church & Dwight Co Inc,0.07769%
CHRW,US12541W2098,C.H. Robinson Worldwide Inc,0.05474%
CI,US1255231003,Cigna Corp.,0.34385%
CINF,US1720621010,Cincinnati Financial Corp,0.05575%
CL,US1941621039,Colgate-Palmolive Co,0.24573%
CLX,US1890541097,Clorox Co,0.09393%
CMA,US2003401070,Comerica Inc.,0.05259%
CMCSA,US20030N1019,Comcast Corp Class A,0.73556%
CME,US12572Q1058,CME Group Inc.,0.31989%
CMG,US1696561059,Chipotle Mexican Grill Inc,0.05055%
CMI,US2310211063,Cummins Inc.,0.09347%
CMS,US1258961002,CMS Energy Corp,0.06673%
CNP,US15189T1079,CenterPoint Energy Inc,0.06732%
COF,US14040H1059,Capital One Financial Corp,0.17029%
COG,US1270971039,Cabot Oil & Gas Corp,0.04576%
TPR,US8760301072,Tapestry Inc.,0.04714%
COP,US20825C1045,ConocoPhillips,0.34120%
COST,US22160K1051,Costco Wholesale Corp,0.42440%
CPB,US1344291091,Campbell Soup Co,0.03071%
CRM,US79466L3024,Salesforce.com Inc,0.49855%
CSCO,US17275R1023,Cisco Systems Inc,0.92662%
CSX,US1264081035,CSX Corp.,0.23682%
CTAS,US1729081059,Cintas Corp.,0.06931%
CTL,US1567001060,CenturyLink Inc.,0.06865%
CTSH,US1924461023,Cognizant Technology Solutions Corp,0.17466%
CTXS,US1773761002,Citrix Systems Inc,0.06227%
CVS,US1266501006,CVS Health Corp.,0.40283%
CVX,US1667641005,Chevron Corp.,0.98908%
CXO,US20605P1012,Concho Resources Inc,0.09820%
D,US25746U1097,Dominion Resources Inc,0.22321%
DAL,US2473617023,Delta Air Lines Inc,0.14745%
DE,US2441991054,Deere & Co.,0.22850%
DFS,US2547091080,Discover Financial Services,0.09426%
DG,US2566771059,Dollar General Corp,0.13444%
DGX,US74834L1008,Quest Diagnostics Inc,0.05379%
DHI,US23331A1097,D.R. Horton Inc,0.05628%
DHR,US2358511028,Danaher Corp.,0.30263%
DIS,US2546871060,Walt Disney Co,0.77668%
DISCA,US25470F1049,Discovery Communications Inc Class A,0.01851%
DISCK,US25470F3029,Discovery Com Class C,0.03953%
APTV,JE00B783TY65,Aptiv PLC,0.07643%
DLTR,US2567461080,Dollar Tree Inc,0.10205%
